264,2001-2002 M.C.U. Leagues - Div.1,2002-04-10,50
265,2002 Aventinius Tournament (LH\, KOD\, DP +DS),2002-04-14,4
266,2002 North Munster Championships,2002-04-21,21
267,2001-2002 L.C.U. Leagues - Div.5 [B.A. Cup],2002-04-28,90
268,2001-2002 L.C.U. Leagues - Div.4 [O'Hanlon Cup],2002-04-28,104
269,2001-2002 L.C.U. Leagues - Div.3 [Ennis Shield],2002-04-28,117
270,2001-2002 L.C.U. Leagues - Div.2 [Heidenfeld Trophy],2002-04-28,161
271,2001-2002 L.C.U. Leagues - Div.1 [Armstrong Cup],2002-04-28,168
272,2002 Malahide Millennium Tournament - Under 1600,2002-05-06,44
273,2002 Malahide Millennium Tournament - Open,2002-05-06,38
274,2002 Limerick Club Championships,2002-05-08,30
275,2002 Cork City Club Championships,2002-05-10,33
276,2002 Galway Open,2002-05-12,55
277,2002 Ulster Team Championships - KO Cup,2002-05-12,41
278,2002 Ulster Team Championships - Plate,2002-05-12,24
279,2002 Drogheda Club Championships,2002-05-14,12
280,2002 Leinster Championships - Junior,2002-05-19,26
281,2002 Leinster Championships - Intermediate,2002-05-19,23
282,2002 Leinster Championships - Senior,2002-05-19,16
283,2002 Branagan Cup,2002-05-23,63
284,2002 Malahide Club Championships - Intermediate,2002-05-28,11
285,2002 Malahide Club Championships - Senior,2002-05-28,16
286,2002 Rathmines Club Championships - Junior,2002-05-30,8
287,2002 Rathmines Club Championships - Intermediate,2002-05-30,8
288,2002 Rathmines Club Championships - Senior,2002-05-30,10
289,2002 Drogheda Congress - Veterens,2002-06-03,3
290,2002 Drogheda Congress - Section D,2002-06-03,10
291,2002 Drogheda Congress - Section C,2002-06-03,6
292,2002 Drogheda Congress - Section B,2002-06-03,6
293,2002 Drogheda Congress - Section A,2002-06-03,6
294,2002 Phibsboro Club Championships,2002-06-05,27
295,2002 Belfast Summerfest - Novices,2002-06-09,19
296,2002 Belfast Summerfest - Challengers,2002-06-09,19
297,2002 Belfast Summerfest - Open,2002-06-09,10
298,2002 Dublin Masters (CB\, SB\, JJ\, MOC +JR),2002-06-18,6
299,2002 Irish Championships - Weekender,2002-07-07,34
300,2002 Irish Championships - Junior,2002-07-12,25
301,2002 Irish Championships - Intermediate,2002-07-12,22
302,2002 Irish Championships - Senior,2002-07-14,19
303,2002 Faber Cup,2002-07-26,18
304,2002 Glorney Cup,2002-07-26,30
305,2002 British Championships - Under 16s (MD),2002-08-02,8
306,2002 Lost Boys Tournament (CD\, MOC + JR),2002-08-04,27
307,2002 British Championships - Under 125 "BCF" (GW),2002-08-09,6
308,2002 British Championships - Under 175 "BCF" (MD),2002-08-09,6
309,2002 British Championships - Open (SC),2002-08-09,11
310,2002 Dublin Classic,2002-08-25,63
311,2002 Chanac Open (JL),2002-08-31,10
312,2002 National Club Championships (Bray/Greystones\, Phibsboro\, Fisherwick + R.V.H.),2002-09-15,29
313,2002 Junior International Triangular Match - Under 12s (SOC\, DM\, SS\, JS\, NK\, SMcC\, MSH + CD),2002-09-15,24
314,2002 Junior International Triangular Match - Under 14s (JMcM\, RD\, RL\, JV\, EK\, CL\, EA + HLOR),2002-09-15,24
315,2002 C.I.Y.M.S. Challenge,2002-09-18,43
316,2002 European Club Cup (Crumlin),2002-09-28,42
317,2002 Munster Championships - Junior,2002-09-29,15
318,2002 Munster Championships - Senior,2002-09-29,18
319,2002 Bray/Greystones Club Championships - Minor,2002-10-02,15
320,2002 Isle of Man - Major (GC\, JC\, PC + NL),2002-10-06,22
321,2002 Isle of Man - Open (SB\, PC\, CD + AF),2002-10-06,33
322,2002 City of Dublin - Junior,2002-10-06,46
323,2002 City of Dublin - Intermediate,2002-10-06,37
324,2002 City of Dublin - Senior,2002-10-06,14
325,2002 European Youth Championships - Under 10s - Boys (JF),2002-10-08,10
326,2002 European Youth Championships - Under 14s - Girls (SH),2002-10-08,10
327,2002 European Youth Championships - Under 14s - Boys (KMcP),2002-10-08,10
328,2002 European Youth Championships - Under 16s - Girls (HLOR),2002-10-08,9
329,2002 European Youth Championships - Under 16s - Boys (GW),2002-10-08,9
330,2002 European Youth Championships - Under 18s - Boys (DM),2002-10-08,9
331,2002 Limerick Open,2002-10-28,69
332,2002 Braille Championships,2002-10-28,24
333,2002 City of Derry Club Championships,2002-10-29,9
334,2002 Le Touquet Tournament - Open (PC + AF),2002-11-02,18
335,2002 Olympiad - Women (SC\, DQ\, GUL + ES),2002-11-10,46
336,2002 Olympiad - Men (AB\, BK\, MQ\, MH\, MO + SC),2002-11-10,62
337,2002 Ulster Championships - Junior,2002-11-24,21
338,2002 Ulster Championships - Intermediate,2002-11-24,19
339,2002 Alex Beckett Trophy,2002-11-24,2
340,2002 World Youth Championships - Under 10s - Girls (CD),2002-11-28,12
341,2002 World Youth Championships - Under 10s - Boys (OB\, MD\, JF + SMcC),2002-11-28,41
342,2002 World Youth Championships - Under 12s - Boys (SOC),2002-11-28,11
343,2002 World Youth Championships - Under 14s - Girls (SH),2002-11-28,12
344,2002 World Youth Championships - Under 14s - Boys (MD),2002-11-28,12
345,2002 World Youth Championships - Under 16s - Boys (SB),2002-11-28,12
346,2002 World Youth Championships - Under 18s - Boys (SJ),2002-11-28,12
347,2002 Kilkenny Congress - Challengers,2002-12-01,81
348,2002 Kilkenny Congress - James Mason,2002-12-01,80
349,2002 Kilkenny Congress - Major,2002-12-01,54
350,2002 Kilkenny Congress - Masters,2002-12-01,36
351,2002 Castle Cup,2002-12-03,23
352,2002 London Junior Championships - Under 14s - Minor (HLOR),2002-12-15,7
353,2002 World Junior Championships - Boys (SC),2002-12-19,14
354,2002 North American Open - Under 2200 "USCF" (GUL),2002-12-29,7
355,2002 Hastings Jubilee - Minor (NL),2002-12-29,6
356,2002 London Junior Championships - Under 16s (HLOR),2002-12-30,7
357,2002 London Junior Championships - Under 18/21s (RLOR),2002-12-30,7
358,2002 Ulster Championships - Senior,2002-12-30,22
359,2003 Tucson Open - Reserve (CL),2003-01-12,5
360,2003 Tucson Open - Open (GUL),2003-01-12,3
361,2003 L.S.C.A. Championships - Under 12s,2003-01-12,43
362,2003 L.S.C.A. Championships - Under 16s,2003-01-12,28
363,2002 Tom White Cup,2003-01-22,34
364,2003 Williamson Shield - Under 1600,2003-01-26,19
365,2003 Williamson Shield - Open,2003-01-26,19
366,2003 L.S.C.A. Championships - Under 14s,2003-01-26,36
367,2003 L.S.C.A. Championships - Under 19s,2003-01-26,17
464,2002 Dublin Club Championships,2003-01-29,18
368,2003 Gonzaga Classic - Challengers,2003-02-09,41
369,2003 Gonzaga Classic - Minor,2003-02-09,13
370,2003 Gonzaga Classic - Major,2003-02-09,32
371,2003 Gonzaga Classic - Masters,2003-02-09,8
372,2003 Aosta Tournament (SB + MOC),2003-02-16,20
373,2003 Youth Interprovincials - Under 16s,2003-02-16,20
465,2003 Youth Interprovincials - Under 19s,2003-02-16,18
374,2003 Bunratty Festival - Minor,2003-02-23,114
375,2003 Bunratty Festival - Major,2003-02-23,92
376,2003 Bunratty Festival - Challengers,2003-02-23,73
377,2003 Bunratty Festival - Masters,2003-02-23,38
378,2003 Junior International Challenge Match - Under 12s (OB\, PC\, DM + BQ),2003-03-02,10
379,2003 Junior International Challenge Match - Under 16s (CF\, EK\, HLOR\, DMcM\, JMcM + JW),2003-03-02,14
380,2003 North Ulster Championships,2003-03-04,8
381,2003 Glenrothes Congress - Minor (SD),2003-03-09,6
382,2002 Elm Mount Club Championships - E,2003-03-10,8
383,2002 Elm Mount Club Championships - D,2003-03-10,5
384,2002 Elm Mount Club Championships - C,2003-03-10,6
385,2002 Elm Mount Club Championships - B,2003-03-10,7
386,2002 Elm Mount Club Championships - A,2003-03-10,8
387,2002-2003 U.C.U. Leagues - Div.2,2003-03-14,77
388,2002-2003 U.C.U. Leagues - Div.1,2003-03-21,74
389,2003 Cork Congress - Minors,2003-03-23,55
390,2003 Cork Congress - Majors,2003-03-23,67
391,2003 Cork Congress - Masters,2003-03-23,49
392,2003 City of Belfast Championships - Henderson Cup,2003-03-30,15
393,2003 City of Belfast Championships - Nemtzov Cup,2003-03-30,17
394,2003 North Munster Championships - Under 1200 [Junior],2003-04-06,22
395,2003 North Munster Championships - Open [Senior],2003-04-06,31
396,2003 Limerick Club Championships - Junior,2003-04-09,22
397,2002-2003 Galway Winter League,2003-04-10,18
398,2002-2003 M.C.U. Leagues - Div.1,2003-04-10,53
399,2003 Gausdal Classic - GM Group (CD),2003-04-11,12
400,2002-2003 L.C.U. Leagues - Div.4 [O'Hanlon Cup],2003-04-13,117
401,2002-2003 L.C.U. Leagues - Div.3 [Ennis Shield],2003-04-13,125
402,2002-2003 L.C.U. Leagues - Div.2 [Heidenfeld Trophy],2003-04-13,168
403,2002-2003 L.C.U. Leagues - Div.1 [Armstrong Cup],2003-04-13,172
404,2003 Irish Open & Leinster Championships - Junior,2003-04-21,27
405,2003 Irish Open & Leinster Championships - Intermediate,2003-04-21,44
406,2003 Irish Open & Leinster Championships - Senior,2003-04-21,14
407,2003 Limerick Club Championships - Senior,2003-04-23,36
408,2003 Irish Junior Championships - Under 10s,2003-04-27,26
409,2003 Irish Junior Championships - Under 12s,2003-04-27,38
410,2003 Irish Junior Championships - Under 14s,2003-04-27,30
411,2003 Irish Junior Championships - Under 16s,2003-04-27,27
412,2003 Irish Junior Championships - Under 19s,2003-04-27,6
413,2003 Malahide Millennium Tournament - Under 1400,2003-05-05,27
